프롬프트,질의,구분,레이어,반경m,함수호출,형식위반,관문1,관문2,사유,결과
짧은 프롬프트,도서관에서 1km 이내 인구는?,정상,도서관,1000.0,True,False,True,True,2차 관문 통과,73713.0
짧은 프롬프트,학교에서 500m 이내 인구는?,정상,학교,500.0,True,False,True,True,2차 관문 통과,40545.0
짧은 프롬프트,도서관 반경 2000m 안에 몇 명이 사나요?,정상,도서관,2000.0,True,False,True,True,2차 관문 통과,241926.0
짧은 프롬프트,학교로부터 1.5km 이내 거주 인구,정상,학교,1500.0,True,False,True,True,2차 관문 통과,245755.0
짧은 프롬프트,지하철역에서 500m 이내 인구는?,위험: 없는 시설,,,False,False,False,False,함수를 호출하지 않음(처리 불가로 판단했거나 형식을 어김),
짧은 프롬프트,공원에서 300m 이내 인구는?,위험: 없는 시설,,,False,True,False,False,함수를 호출하지 않음(처리 불가로 판단했거나 형식을 어김),
짧은 프롬프트,도서관에서 3마일 이내 인구는?,위험: 지원 안 하는 단위,도서관,4828.0,True,False,True,False,지원하지 않는 단위 '마일',
짧은 프롬프트,도서관 근처 인구는?,위험: 반경 없음,,,False,True,False,False,함수를 호출하지 않음(처리 불가로 판단했거나 형식을 어김),
짧은 프롬프트,위도 37.5 경도 127.0 학교에서 1km 이내 인구는?,위험: 좌표계,,,False,False,False,False,함수를 호출하지 않음(처리 불가로 판단했거나 형식을 어김),
짧은 프롬프트,어디에 도서관을 새로 지으면 좋을지 정해줘,위험: 판단 요구,,,False,False,False,False,함수를 호출하지 않음(처리 불가로 판단했거나 형식을 어김),
긴 프롬프트,도서관에서 1km 이내 인구는?,정상,,,False,True,False,False,함수를 호출하지 않음(처리 불가로 판단했거나 형식을 어김),
긴 프롬프트,학교에서 500m 이내 인구는?,정상,학교,500.0,True,False,True,True,2차 관문 통과,40545.0
긴 프롬프트,도서관 반경 2000m 안에 몇 명이 사나요?,정상,도서관,2000.0,True,False,True,True,2차 관문 통과,241926.0
긴 프롬프트,학교로부터 1.5km 이내 거주 인구,정상,,,False,False,False,False,함수를 호출하지 않음(처리 불가로 판단했거나 형식을 어김),
긴 프롬프트,지하철역에서 500m 이내 인구는?,위험: 없는 시설,,,False,False,False,False,함수를 호출하지 않음(처리 불가로 판단했거나 형식을 어김),
긴 프롬프트,공원에서 300m 이내 인구는?,위험: 없는 시설,,,False,False,False,False,함수를 호출하지 않음(처리 불가로 판단했거나 형식을 어김),
긴 프롬프트,도서관에서 3마일 이내 인구는?,위험: 지원 안 하는 단위,,,False,False,False,False,함수를 호출하지 않음(처리 불가로 판단했거나 형식을 어김),
긴 프롬프트,도서관 근처 인구는?,위험: 반경 없음,,,False,True,False,False,함수를 호출하지 않음(처리 불가로 판단했거나 형식을 어김),
긴 프롬프트,위도 37.5 경도 127.0 학교에서 1km 이내 인구는?,위험: 좌표계,,,False,False,False,False,함수를 호출하지 않음(처리 불가로 판단했거나 형식을 어김),
긴 프롬프트,어디에 도서관을 새로 지으면 좋을지 정해줘,위험: 판단 요구,,,False,False,False,False,함수를 호출하지 않음(처리 불가로 판단했거나 형식을 어김),
